None
None
None
None
Duration: 288.736000061
         257822 function calls (255869 primitive calls) in 289.182 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:226(c_ubyte)
        1    0.003    0.003    0.145    0.145 __init__.py:229(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:233(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:238(Verbose)
        1    0.000    0.000    0.000    0.000 __init__.py:238(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:243(c_char_p)
        1    0.000    0.000    0.000    0.000 __init__.py:255(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:260(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:260(c_bool)
        2    0.000    0.000    0.000    0.000 __init__.py:264(set_level)
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:27(get_projection_names)
        1    0.000    0.000    0.000    0.000 __init__.py:275(set_fileo)
       19    0.000    0.000    0.000    0.000 __init__.py:290(report)
        1    0.000    0.000    0.000    0.000 __init__.py:291(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:294(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:297(create_unicode_buffer)
        2    0.002    0.001    0.005    0.002 __init__.py:3(<module>)
        4    0.000    0.000    0.000    0.000 __init__.py:301(wrap)
     11/7    0.000    0.000    0.001    0.000 __init__.py:311(wrapper)
       19    0.000    0.000    0.000    0.000 __init__.py:322(ge)
        1    0.002    0.002    0.102    0.102 __init__.py:331(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:332(CDLL)
        2    0.000    0.000    0.000    0.000 __init__.py:349(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:359(_FuncPtr)
        4    0.000    0.000    0.000    0.000 __init__.py:375(__getattr__)
        2    0.003    0.001    0.045    0.022 __init__.py:38(<module>)
        4    0.000    0.000    0.000    0.000 __init__.py:382(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:388(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:397(WinDLL)
        1    0.002    0.002    0.002    0.002 __init__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:406(HRESULT)
        1    0.000    0.000    0.000    0.000 __init__.py:406(checkdep_ps_distiller)
        1    0.000    0.000    0.000    0.000 __init__.py:419(OleDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:428(LibraryLoader)
        4    0.000    0.000    0.000    0.000 __init__.py:429(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:432(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:442(checkdep_usetex)
        2    0.002    0.001    0.008    0.004 __init__.py:45(<module>)
        1    0.001    0.001    0.003    0.003 __init__.py:48(<module>)
        7    0.000    0.000    0.000    0.000 __init__.py:483(_get_home)
        1    0.000    0.000    0.000    0.000 __init__.py:49(normalize_encoding)
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:494(CFunctionType)
        1    0.000    0.000    0.002    0.002 __init__.py:52(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:528(_get_xdg_config_dir)
        1    0.003    0.003    0.032    0.032 __init__.py:542(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:542(_get_xdg_cache_dir)
        3    0.000    0.000    0.002    0.001 __init__.py:556(_get_config_or_cache_dir)
        1    0.001    0.001    0.022    0.022 __init__.py:57(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:591(_get_configdir)
        1    0.001    0.001    0.001    0.001 __init__.py:6(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:6(ProjectionRegistry)
        2    0.000    0.000    0.001    0.001 __init__.py:616(_get_cachedir)
        1    0.000    0.000    0.000    0.000 __init__.py:628(_get_data_path)
        1    0.001    0.001    0.002    0.002 __init__.py:65(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:667(_get_data_path_cached)
        2    0.001    0.001    0.018    0.009 __init__.py:7(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:700(matplotlib_fname)
        1    0.000    0.000    0.000    0.000 __init__.py:71(search_function)
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:784(RcParams)
      197    0.000    0.000    0.000    0.000 __init__.py:793(<genexpr>)
        3    0.000    0.000    0.000    0.000 __init__.py:798(__setitem__)
        1    0.001    0.001    0.002    0.002 __init__.py:8(<module>)
       52    0.000    0.000    0.000    0.000 __init__.py:814(__getitem__)
        1    0.001    0.001    0.002    0.002 __init__.py:82(<module>)
        1    0.002    0.002    0.003    0.003 __init__.py:85(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:870(rc_params)
        1    0.002    0.002    0.003    0.003 __init__.py:88(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:886(rc_params_from_file)
        1    0.000    0.000    0.000    0.000 __init__.py:9(<module>)
        1    0.004    0.004    0.028    0.028 __init__.py:99(<module>)
        3    0.000    0.000    0.000    0.000 _abcoll.py:98(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _adapthist.py:15(<module>)
        1    0.000    0.000    0.000    0.000 _add_newdocs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _arraytools.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:14(Storage)
